"","spread_line","game_id","season","week","gameday","weekday","gametime","away_team","home_team","home_score","away_score","away_rest","home_rest","div_game","roof","surface","temp","wind","stadium_id","home_roster_id","away_roster_id","home_win","home_win_spread","season_week","elo_predicted_win_perc","elo_home","elo_away","pastYear_home_Offense_yards_gained","past4_home_Offense_yards_gained","pastYear_home_Offense_touchdown","past4_home_Offense_touchdown","pastYear_home_Offense_sack","past4_home_Offense_sack","pastYear_home_Offense_penalty_yards","past4_home_Offense_penalty_yards","pastYear_home_Offense_fumble_lost","past4_home_Offense_fumble_lost","pastYear_home_Offense_interception","past4_home_Offense_interception","pastYear_home_Defense_yards_gained","past4_home_Defense_yards_gained","pastYear_home_Defense_touchdown","past4_home_Defense_touchdown","pastYear_home_Defense_sack","past4_home_Defense_sack","pastYear_home_Defense_penalty_yards","past4_home_Defense_penalty_yards","pastYear_home_Defense_fumble_lost","past4_home_Defense_fumble_lost","pastYear_home_Defense_interception","past4_home_Defense_interception","pastYear_home_top","past4_home_top","pastYear_away_Offense_yards_gained","past4_away_Offense_yards_gained","pastYear_away_Offense_touchdown","past4_away_Offense_touchdown","pastYear_away_Offense_sack","past4_away_Offense_sack","pastYear_away_Offense_penalty_yards","past4_away_Offense_penalty_yards","pastYear_away_Offense_fumble_lost","past4_away_Offense_fumble_lost","pastYear_away_Offense_interception","past4_away_Offense_interception","pastYear_away_Defense_yards_gained","past4_away_Defense_yards_gained","pastYear_away_Defense_touchdown","past4_away_Defense_touchdown","pastYear_away_Defense_sack","past4_away_Defense_sack","pastYear_away_Defense_penalty_yards","past4_away_Defense_penalty_yards","pastYear_away_Defense_fumble_lost","past4_away_Defense_fumble_lost","pastYear_away_Defense_interception","past4_away_Defense_interception","pastYear_away_top","past4_away_top"
"1",10,"2021_01_DAL_TB",2021,1,"2021-09-09","Thursday","20:20","DAL","TB",31,29,7,7,0,"outdoors","grass ",82,9,"TAM00","2021_1_TB","2021_1_DAL",TRUE,FALSE,202101,0.455077872767445,1402.05744680913,1428.26275141563,5.58400249473766,6.07665505226481,0.0544944258205348,0.0590398761130468,0.018944414126452,0.0218737901664731,10.9405469678954,10.7811320754717,0.00350822483823185,0.00154858691444057,0.00873158181959928,0.00832365466511808,4.20742260111531,4.20026525198939,0.0315364399717967,0.0273541114058355,0.0322415229792962,0.0333222811671088,8.21757322175732,7.36397058823529,0.00647394397795013,0.00878647214854111,0.0140375616947632,0.0107758620689655,1782.45,1762,4.83197405004634,4.82701336222463,0.0344763670064875,0.0386421090646443,0.0362372567191844,0.0433369447453954,8.33106960950764,9.45901639344262,0.0112140871177016,0.000361141206211629,0.0105653382761816,0.00722282412423257,4.58597566816745,4.80071428571429,0.0409043011782738,0.0371428571428571,0.0228949133058722,0.0235714285714286,8.94328703703704,9.45679012345679,0.00852572085448798,0.0128571428571429,0.00833413162180285,0.0132142857142857,1701.75,1703.5
"2",3.5,"2021_01_PHI_ATL",2021,1,"2021-09-12","Sunday","13:00","PHI","ATL",6,32,7,7,0,"open","fieldturf",NA,NA,"ATL97","2021_1_ATL","2021_1_PHI",FALSE,FALSE,202101,0.521432316919365,1448.25876679498,1436.12070154691,4.7145474137931,4.76638430673206,0.0310344827586207,0.0329915292019617,0.0344827586206897,0.0347748551047704,8.71356783919598,7.6412213740458,0.0052801724137931,0.0106999554168524,0.00872844827586207,0.00757913508693714,4.75689765800449,4.99646226415094,0.038418350978505,0.0418632075471698,0.0195700994546038,0.0144457547169811,8.57663316582915,7.50295857988166,0.0061758100737889,0.00206367924528302,0.00914340712223292,0.0100235849056604,1848.75,1805,4.51272727272727,4.66687116564417,0.0342424242424242,0.0337423312883436,0.0509090909090909,0.0371165644171779,9.00592417061611,8.37971014492754,0.00737373737373737,0.00889570552147239,0.0157575757575758,0.0113496932515337,4.26371667699938,4.95837104072398,0.0347179169249845,0.0413273001508296,0.032238065716057,0.028657616892911,8.22898230088496,9.07142857142857,0.00666460012399256,0.00723981900452489,0.00782703037817731,0.0135746606334842,1755.875,1815.75
"3",6.5,"2021_01_PIT_BUF",2021,1,"2021-09-12","Sunday","13:00","PIT","BUF",16,23,7,7,0,"outdoors","a_turf",73,17,"BUF00","2021_1_BUF","2021_1_PIT",FALSE,FALSE,202101,0.482445097537391,1421.15352474705,1469.18737169649,5.19189150194777,5.27761370348494,0.0437166354061463,0.0452845048237842,0.026763814745347,0.0240204764717464,8.96570898980537,9.3695652173913,0.00620401096522868,0.00315022642252412,0.00923387678545664,0.00866312266194133,4.44631185807656,4.21578822973292,0.0352474323062558,0.0387615220987946,0.0296451914098973,0.0255258804065233,9.01054018445323,6.8972972972973,0.00809212573918456,0.00425431340108721,0.00964830376595082,0.00850862680217443,1854.10526315789,1844.14285714286,4.3252784198361,4.28652281570569,0.0391889052321916,0.0456314113901663,0.0143937802059256,0.0130880792359392,9.86461538461539,7.77358490566038,0.00567346081109477,0.00707463742483198,0.0102962807312461,0.0152104704633888,3.97801999819836,4.15557137771449,0.033150166651653,0.0384478462086152,0.0356724619403657,0.0277678889284443,8.18632707774799,9.50819672131148,0.00729663994234754,0.00462798148807405,0.012341230519773,0.00569597721609114,1855.76470588235,1690
"4",3.5,"2021_01_NYJ_CAR",2021,1,"2021-09-12","Sunday","13:00","NYJ","CAR",19,14,7,7,0,"outdoors","grass ",81,0,"CAR00","2021_1_CAR","2021_1_NYJ",TRUE,TRUE,202101,0.505802163827454,1437.38887376424,1432.13519736285,4.71657195871506,4.44508950169328,0.0307317638872782,0.027092404450895,0.0327032355328772,0.0411223996129656,8.20491803278689,7.48717948717949,0.00521860141482083,0.00774068698597,0.01252464339557,0.0135462022254475,4.36122792262405,4.42213687150838,0.0335365853658537,0.0370111731843575,0.0257569386038688,0.0384078212290503,8.21580547112462,8.71428571428571,0.00956686291000841,0.00733240223463687,0.00609756097560976,0.00593575418994413,1872.5625,1890.25,4.42901159490797,4.50082863771959,0.0302440606502878,0.0311567782565462,0.03413605773129,0.0298309579052038,8.96465968586388,8.57894736842105,0.00494607962377362,0.00265164070268479,0.0102975756101516,0.00762346702021876,4.57588243373163,4.64670932358318,0.0398296937233896,0.0406764168190128,0.0240351600054938,0.0283363802559415,8.78625954198473,8.44155844155844,0.00659250103007829,0.00548446069469835,0.00672984480153825,0.00776965265082267,1691.6875,1876.75
"5",-3,"2021_01_MIN_CIN",2021,1,"2021-09-12","Sunday","13:00","MIN","CIN",27,24,7,7,0,"outdoors","fieldturf",81,15,"CIN00","2021_1_CIN","2021_1_MIN",TRUE,TRUE,202101,0.477642124566047,1417.81072624748,1435.65036045146,4.32904856075588,4.64753706360593,0.031861129422105,0.0353897656623625,0.038672819160624,0.0186513629842181,7.73684210526316,6.97413793103448,0.0108767303889255,0.0105212816834051,0.00714128762909251,0.000478240076518412,4.56619774518607,4.82464255677039,0.0329242741694104,0.0382674516400336,0.0202534171405767,0.0176619007569386,8.60876132930514,8.02702702702703,0.00578669061159334,0.0100925147182506,0.0102763643619675,0.0100925147182506,1869,1835.75,5.13073469834665,5.19144307469181,0.0460965728676229,0.046047860768673,0.0298916018832804,0.0402465554749819,8.44619799139168,8.2680412371134,0.00832147158655425,0.00362581580855693,0.0101828533888098,0.00362581580855693,4.64957807821432,5.00522973477774,0.0376553851737592,0.0470676129996264,0.0225024952363669,0.0246544639521853,8.3758865248227,8.57432432432432,0.0065329824879775,0.00709749719835637,0.00861990744941475,0.00859170713485245,1802.0625,1867.5
"6",-9.5,"2021_01_SF_DET",2021,1,"2021-09-12","Sunday","13:00","SF","DET",33,41,7,7,0,"dome","fieldturf",NA,NA,"DET00","2021_1_DET","2021_1_SF",FALSE,TRUE,202101,0.48242365336181,1421.13860539412,1447.44681766507,4.66170268845546,4.80771412365286,0.040326831839747,0.0419739081111741,0.0278070637849236,0.0289279636982416,7.94931773879142,6.46762589928058,0.00527148128624143,0.00737379466817924,0.00843437005798629,0.00567214974475326,4.5352204681546,4.99912663755459,0.0430048992923244,0.0528384279475983,0.020141535111595,0.0179039301310044,8.77100494233937,8.32539682539683,0.00468154599891127,0.00305676855895197,0.00631464344039194,0.00174672489082969,1692.8125,1575.5,5.01495092444647,4.93435251798561,0.0405158639580005,0.0431654676258993,0.0318420451951609,0.035521582733813,9.0893470790378,9.23703703703704,0.00650536407212965,0.0130395683453237,0.0135813741154987,0.0107913669064748,3.88094745552338,3.19025341130604,0.0334091849400083,0.0253411306042885,0.0236863880844022,0.0272904483430799,7.90816326530612,6.55555555555556,0.00651634257343815,0.00467836257309942,0.00837815473727762,0.0050682261208577,1883.0625,1907.75
"7",-3.5,"2021_01_JAX_HOU",2021,1,"2021-09-12","Sunday","13:00","JAX","HOU",37,21,7,7,1,"closed","astroturf",NA,NA,"HOU00","2021_1_HOU","2021_1_JAX",TRUE,TRUE,202101,0.529570604250276,1453.92870372308,1421.45457205822,5.10664074184864,5.91229508196721,0.0351480705952737,0.0426229508196721,0.0411307209093628,0.0475409836065574,8.34498834498834,7.6375,0.00897397547113371,0.0131147540983607,0.00912354172898594,0.00655737704918033,4.95825617283951,5.28776726253067,0.0402777777777778,0.0459165790396074,0.0260802469135802,0.0224325271643884,8.52453271028037,7.93989071038251,0.00555555555555556,0.00385559060637925,0.00617283950617284,0.00736067297581493,1638,1710.5,4.58323133414933,4.34477459016393,0.0280497756017952,0.0230532786885246,0.0364137086903305,0.0394467213114754,8.86101694915254,8.425,0.00632394940840473,0.00563524590163934,0.0115259077927377,0.00870901639344262,4.8553101997897,5.11227876106195,0.0399579390115668,0.0459070796460177,0.0165089379600421,0.017146017699115,9.97402597402597,12.1844660194175,0.00452155625657203,0.00442477876106195,0.00967402733964248,0.0116150442477876,1671.375,1647.75
"8",-3,"2021_01_SEA_IND",2021,1,"2021-09-12","Sunday","13:00","SEA","IND",16,28,7,7,0,"closed","fieldturf",NA,NA,"IND00","2021_1_IND","2021_1_SEA",FALSE,FALSE,202101,0.463752442634351,1408.12528965994,1417.98920771392,5.02012744793286,5.46895816679989,0.0385452284737333,0.0423661071143086,0.022536524712465,0.0213162803090861,8.92274678111588,8.11374407582938,0.00404103201740752,0.00373034905409006,0.00940317065589058,0.00746069810818012,4.05134714601589,4.59469891919712,0.0347227909262141,0.0362840967575914,0.0288264679387438,0.0334534225424601,9.4,8.26923076923077,0.00737040373433789,0.010036026762738,0.0114650724756367,0.00488934637159032,1877.47058823529,1897.6,4.87727886563133,4.52798742138365,0.0458305199189737,0.0393081761006289,0.0388251181634031,0.0349056603773585,8.64897466827503,7.84466019417476,0.00565496286293045,0.00125786163522013,0.0111411208642809,0.010062893081761,4.30880954439353,3.77839905826957,0.0311230223912856,0.0182460270747499,0.0313823809112129,0.0320776927604473,8.06386066763425,8.08666666666667,0.00492781187862021,0.00559152442613302,0.00933690671738567,0.00676868746321365,1801.35294117647,1720.6
"9",2.5,"2021_01_ARI_TEN",2021,1,"2021-09-12","Sunday","13:00","ARI","TEN",13,38,7,7,0,"outdoors","grass ",82,8,"NAS00","2021_1_TEN","2021_1_ARI",FALSE,FALSE,202101,0.498316476433122,1432.18709999034,1419.19702953044,5.28275470627188,5.58538350217077,0.0491911834263551,0.0513748191027496,0.0220414341121937,0.0246020260492041,8.23849372384937,8.48951048951049,0.00416233090530697,0.00687409551374819,0.00737867751395327,0.0101302460202605,4.53971698113208,5.09602888086643,0.0375471698113208,0.0389891696750903,0.0236792452830189,0.0310469314079422,8.83787465940054,7.77777777777778,0.00622641509433962,0.0072202166064982,0.0105660377358491,0.00794223826714801,1714.35294117647,1690.8,4.83838561861121,4.93468795355588,0.0404476559746211,0.032656023222061,0.0235283750440606,0.0246734397677794,8.18349619978284,7.54838709677419,0.00757842791681354,0.0108853410740203,0.0100458230525203,0.00870827285921625,4.44434104920321,4.32470481380563,0.0328021402814935,0.0286103542234332,0.0360590903803652,0.0554041780199818,7.86384266263237,6.60606060606061,0.0069791787832965,0.0127157129881926,0.00732813772246132,0.00317892824704814,1743.75,1801.25
"10",2.5,"2021_01_LAC_WAS",2021,1,"2021-09-12","Sunday","13:00","LAC","WAS",16,20,7,7,0,"outdoors","grass ",81,4,"WAS00","2021_1_WAS","2021_1_LAC",FALSE,FALSE,202101,0.553569004174081,1470.72390626193,1454.89381664117,4.50869605226834,4.43474347434743,0.0311033403883316,0.0252025202520252,0.037728904021349,0.036003600360036,8.37874251497006,8.72955974842767,0.00570534646176498,0.0021002100210021,0.0139873010030367,0.0204020402040204,4.12528585429598,4.01926629717604,0.0311989545900033,0.0337820005278438,0.0331590983338778,0.0327263130113486,8.51741293532338,8.12719298245614,0.00743221169552434,0.0134600158353127,0.0106991179353153,0.0110847189231987,1790.88235294118,1729,4.95310464611376,5.17355371900826,0.0391880156317846,0.0469769464984776,0.0248588797221016,0.0260983036102653,9.48700173310225,8.67132867132867,0.00466782457663917,0.00304480208786429,0.00759878419452888,0.00695954762940409,4.54953252436841,4.91082251082251,0.0385916053312115,0.0324675324675325,0.0221802267754128,0.0203463203463203,8.67088607594937,7.25581395348837,0.00427690471454148,0,0.00934951263178834,0.0177489177489178,1917.9375,1903.75
